run_nb	start_time	end_time
272007	28-APR-16 10.38.11.000000 PM	28-APR-16 10.40.08.000000 PM
272008	28-APR-16 10.40.26.000000 PM	28-APR-16 10.53.38.000000 PM
272010	28-APR-16 10.59.33.000000 PM	28-APR-16 11.08.29.000000 PM
272011	28-APR-16 11.11.45.000000 PM	29-APR-16 12.29.50.000000 AM
272012	29-APR-16 12.32.26.000000 AM	29-APR-16 01.55.11.000000 AM
272014	29-APR-16 01.56.35.000000 AM	29-APR-16 02.44.46.000000 AM
272016	29-APR-16 02.52.57.000000 AM	29-APR-16 03.11.13.000000 AM
272017	29-APR-16 03.11.32.000000 AM	29-APR-16 03.11.55.000000 AM
272019	29-APR-16 03.40.59.000000 AM	29-APR-16 03.49.09.000000 AM
272021	29-APR-16 03.57.44.000000 AM	29-APR-16 04.45.55.000000 AM
272022	29-APR-16 05.05.06.000000 AM	29-APR-16 05.31.31.000000 AM
272760	06-MAY-16 11.47.16.000000 PM	06-MAY-16 11.55.02.000000 PM
272761	06-MAY-16 11.55.23.000000 PM	07-MAY-16 12.28.01.000000 AM
272762	07-MAY-16 12.28.08.000000 AM	07-MAY-16 01.09.42.000000 AM
272774	07-MAY-16 03.50.03.000000 AM	07-MAY-16 03.55.06.000000 AM
272775	07-MAY-16 03.56.32.000000 AM	07-MAY-16 05.15.24.000000 AM
272776	07-MAY-16 05.18.51.000000 AM	07-MAY-16 05.59.16.000000 AM
272782	07-MAY-16 10.17.47.000000 AM	07-MAY-16 10.30.36.000000 AM
272783	07-MAY-16 10.34.03.000000 AM	07-MAY-16 11.32.20.000000 AM
272784	07-MAY-16 11.33.35.000000 AM	07-MAY-16 01.31.41.000000 PM
272785	07-MAY-16 01.31.50.000000 PM	07-MAY-16 02.29.21.000000 PM
272786	07-MAY-16 02.29.31.000000 PM	07-MAY-16 02.52.03.000000 PM
272798	07-MAY-16 06.58.40.000000 PM	08-MAY-16 06.02.38.000000 AM
272811	08-MAY-16 02.55.39.000000 PM	08-MAY-16 03.32.10.000000 PM
272812	08-MAY-16 03.33.21.000000 PM	08-MAY-16 06.00.36.000000 PM
272814	08-MAY-16 06.00.56.000000 PM	08-MAY-16 06.04.03.000000 PM
272815	08-MAY-16 06.05.47.000000 PM	08-MAY-16 06.13.57.000000 PM
272816	08-MAY-16 06.16.08.000000 PM	08-MAY-16 06.29.21.000000 PM
272818	08-MAY-16 06.31.31.000000 PM	08-MAY-16 10.32.01.000000 PM
272827	09-MAY-16 01.27.04.000000 AM	09-MAY-16 01.32.07.000000 AM
272828	09-MAY-16 01.32.47.000000 AM	09-MAY-16 01.55.20.000000 AM
272922	10-MAY-16 12.56.11.000000 AM	10-MAY-16 01.03.34.000000 AM
272923	10-MAY-16 01.05.14.000000 AM	10-MAY-16 01.17.17.000000 AM
272924	10-MAY-16 01.17.39.000000 AM	10-MAY-16 01.25.49.000000 AM
272925	10-MAY-16 01.26.56.000000 AM	10-MAY-16 01.30.03.000000 AM
272926	10-MAY-16 01.30.35.000000 AM	10-MAY-16 01.38.45.000000 AM
272927	10-MAY-16 01.41.38.000000 AM	10-MAY-16 02.09.37.000000 AM
272930	10-MAY-16 02.23.40.000000 AM	10-MAY-16 03.27.00.000000 AM
