run_nb	start_time	end_time
314472	17-APR-18 10.55.26.000000 AM	17-APR-18 11.08.39.000000 AM
314473	17-APR-18 11.08.49.000000 AM	17-APR-18 11.15.26.000000 AM
314474	17-APR-18 11.15.37.000000 AM	17-APR-18 11.22.13.000000 AM
314475	17-APR-18 11.22.23.000000 AM	17-APR-18 11.28.59.000000 AM
314476	17-APR-18 11.29.10.000000 AM	17-APR-18 11.35.23.000000 AM
314477	17-APR-18 11.35.47.000000 AM	17-APR-18 11.42.00.000000 AM
314478	17-APR-18 11.42.12.000000 AM	17-APR-18 11.46.29.000000 AM
314479	17-APR-18 11.48.40.000000 AM	17-APR-18 11.52.56.000000 AM
314480	17-APR-18 11.54.40.000000 AM	17-APR-18 11.59.19.000000 AM
314481	17-APR-18 12.01.27.000000 PM	17-APR-18 12.06.07.000000 PM
314482	17-APR-18 12.08.11.000000 PM	17-APR-18 12.12.27.000000 PM
314483	17-APR-18 12.14.12.000000 PM	17-APR-18 12.18.28.000000 PM
314485	17-APR-18 12.21.29.000000 PM	17-APR-18 12.26.09.000000 PM
314486	17-APR-18 12.28.12.000000 PM	17-APR-18 12.32.52.000000 PM
314487	17-APR-18 12.35.09.000000 PM	17-APR-18 12.40.35.000000 PM
314488	17-APR-18 12.43.10.000000 PM	17-APR-18 12.47.50.000000 PM
314490	17-APR-18 12.50.26.000000 PM	17-APR-18 12.55.06.000000 PM
314491	17-APR-18 12.57.56.000000 PM	17-APR-18 01.02.36.000000 PM
314492	17-APR-18 01.05.28.000000 PM	17-APR-18 01.12.28.000000 PM
314494	17-APR-18 01.15.47.000000 PM	17-APR-18 01.23.57.000000 PM
314495	17-APR-18 01.27.28.000000 PM	17-APR-18 01.32.31.000000 PM
314496	17-APR-18 01.35.57.000000 PM	17-APR-18 01.41.23.000000 PM
314497	17-APR-18 01.45.07.000000 PM	17-APR-18 01.49.24.000000 PM
314498	17-APR-18 01.52.56.000000 PM	17-APR-18 01.57.13.000000 PM
314499	17-APR-18 02.00.58.000000 PM	17-APR-18 02.05.37.000000 PM
314500	17-APR-18 02.09.08.000000 PM	17-APR-18 02.13.24.000000 PM
314501	17-APR-18 02.16.39.000000 PM	17-APR-18 02.20.55.000000 PM
314502	17-APR-18 02.24.32.000000 PM	17-APR-18 02.28.48.000000 PM
314503	17-APR-18 02.32.36.000000 PM	17-APR-18 02.36.53.000000 PM
314504	17-APR-18 02.40.24.000000 PM	17-APR-18 02.44.41.000000 PM
314506	17-APR-18 02.48.25.000000 PM	17-APR-18 02.54.38.000000 PM
314507	17-APR-18 02.58.07.000000 PM	17-APR-18 03.02.46.000000 PM
314508	17-APR-18 03.06.37.000000 PM	17-APR-18 03.11.40.000000 PM
314509	17-APR-18 03.15.04.000000 PM	17-APR-18 03.19.20.000000 PM
314510	17-APR-18 03.22.38.000000 PM	17-APR-18 03.26.55.000000 PM
314511	17-APR-18 03.30.10.000000 PM	17-APR-18 03.35.14.000000 PM
314512	17-APR-18 03.38.47.000000 PM	17-APR-18 03.43.04.000000 PM
314513	17-APR-18 03.46.20.000000 PM	17-APR-18 03.50.36.000000 PM
314515	17-APR-18 03.54.12.000000 PM	17-APR-18 04.22.57.000000 PM
314521	17-APR-18 04.24.44.000000 PM	17-APR-18 04.43.00.000000 PM
