run_nb	start_time	end_time
299420	19-JUL-17 12.04.00.000000 PM	19-JUL-17 12.22.39.000000 PM
299443	20-JUL-17 12.32.54.000000 AM	20-JUL-17 12.40.17.000000 AM
299450	20-JUL-17 04.37.03.000000 AM	20-JUL-17 04.56.05.000000 AM
299477	20-JUL-17 12.44.21.000000 PM	20-JUL-17 01.03.00.000000 PM
299478	20-JUL-17 01.06.44.000000 PM	20-JUL-17 02.14.20.000000 PM
299479	20-JUL-17 02.18.01.000000 PM	20-JUL-17 03.05.25.000000 PM
299480	20-JUL-17 03.07.52.000000 PM	20-JUL-17 07.45.16.000000 PM
299481	20-JUL-17 07.55.18.000000 PM	21-JUL-17 04.03.17.000000 AM
299593	21-JUL-17 06.23.45.000000 PM	21-JUL-17 11.34.57.000000 PM
299594	21-JUL-17 11.38.54.000000 PM	22-JUL-17 01.41.40.000000 AM
299595	22-JUL-17 01.48.02.000000 AM	22-JUL-17 02.41.16.000000 AM
299597	22-JUL-17 02.46.03.000000 AM	22-JUL-17 06.14.41.000000 AM
299649	24-JUL-17 02.38.21.000000 AM	24-JUL-17 03.48.41.000000 AM
300087	29-JUL-17 06.23.31.000000 AM	29-JUL-17 07.42.24.000000 AM
300105	29-JUL-17 12.14.52.000000 PM	29-JUL-17 12.22.38.000000 PM
300106	29-JUL-17 12.26.04.000000 PM	29-JUL-17 12.54.26.000000 PM
300107	29-JUL-17 12.58.01.000000 PM	29-JUL-17 01.15.53.000000 PM
300117	29-JUL-17 04.45.44.000000 PM	29-JUL-17 04.58.10.000000 PM
300122	29-JUL-17 09.46.18.000000 PM	30-JUL-17 05.51.34.000000 AM
300123	30-JUL-17 05.57.59.000000 AM	30-JUL-17 09.55.22.000000 AM
300155	30-JUL-17 06.49.41.000000 PM	31-JUL-17 02.33.34.000000 AM
300156	31-JUL-17 02.33.41.000000 AM	31-JUL-17 03.01.16.000000 AM
300157	31-JUL-17 03.14.44.000000 AM	31-JUL-17 10.21.19.000000 AM
300226	31-JUL-17 05.03.13.000000 PM	31-JUL-17 07.40.34.000000 PM
300233	31-JUL-17 10.08.07.000000 PM	31-JUL-17 10.54.21.000000 PM
300234	31-JUL-17 10.55.49.000000 PM	31-JUL-17 11.18.21.000000 PM
300235	31-JUL-17 11.21.52.000000 PM	01-AUG-17 12.34.08.000000 AM
300236	01-AUG-17 12.39.29.000000 AM	01-AUG-17 01.47.52.000000 AM
300237	01-AUG-17 01.48.17.000000 AM	01-AUG-17 06.26.28.000000 AM
300238	01-AUG-17 06.39.52.000000 AM	01-AUG-17 08.36.02.000000 AM
300239	01-AUG-17 08.36.44.000000 AM	01-AUG-17 09.59.04.000000 AM
300240	01-AUG-17 10.10.56.000000 AM	01-AUG-17 12.31.12.000000 PM
300280	02-AUG-17 04.47.45.000000 AM	02-AUG-17 08.56.01.000000 AM
300281	02-AUG-17 09.00.44.000000 AM	02-AUG-17 09.02.41.000000 AM
300282	02-AUG-17 09.08.16.000000 AM	02-AUG-17 10.20.07.000000 AM
300283	02-AUG-17 10.20.31.000000 AM	02-AUG-17 10.33.21.000000 AM
300284	02-AUG-17 10.35.39.000000 AM	02-AUG-17 03.27.01.000000 PM
300364	03-AUG-17 12.13.45.000000 PM	03-AUG-17 12.21.08.000000 PM
300365	03-AUG-17 12.25.03.000000 PM	03-AUG-17 12.32.26.000000 PM
300366	03-AUG-17 12.34.35.000000 PM	03-AUG-17 12.42.22.000000 PM
300367	03-AUG-17 12.44.42.000000 PM	03-AUG-17 12.52.05.000000 PM
300368	03-AUG-17 12.54.06.000000 PM	03-AUG-17 01.01.27.000000 PM
300369	03-AUG-17 01.03.35.000000 PM	03-AUG-17 01.10.58.000000 PM
300370	03-AUG-17 01.13.08.000000 PM	03-AUG-17 01.20.31.000000 PM
300371	03-AUG-17 01.22.40.000000 PM	03-AUG-17 01.30.03.000000 PM
300372	03-AUG-17 01.32.05.000000 PM	03-AUG-17 01.34.48.000000 PM
300373	03-AUG-17 01.39.38.000000 PM	03-AUG-17 01.47.23.000000 PM
300374	03-AUG-17 01.48.53.000000 PM	03-AUG-17 01.56.40.000000 PM
