#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
279667:5254,08/27/16 11:08:23,966,966,0.218139226,0.210966708
279681:5256,08/27/16 23:57:02,35,28,0.008364055,0.006746151
279682:5256,08/28/16 00:11:02,47,47,0.012396993,0.007864511
279683:5256,08/28/16 00:32:16,34,31,0.008833278,0.006434360
279684:5256,08/28/16 00:46:58,34,30,0.008630114,0.005362302
279685:5256,08/28/16 01:07:12,209,209,0.050816048,0.049187554
279691:5257,08/28/16 05:41:26,54,50,0.013428871,0.009765373
279694:5257,08/28/16 06:03:09,2235,2235,0.422637127,0.410524768
279715:5258,08/29/16 00:01:34,621,621,0.144521871,0.138882193
279716:5258,08/29/16 04:17:06,1653,1653,0.267561030,0.260669428
279760:5261,08/29/16 22:21:24,739,733,0.178443185,0.156636247
279766:5261,08/30/16 03:08:36,1694,1690,0.279515063,0.270889647
279767:5261,08/30/16 14:08:03,776,776,0.092636863,0.090583908
279794:5264,08/31/16 01:41:02,1024,1024,0.232460796,0.225486947
279823:5265,08/31/16 12:00:39,335,335,0.085329204,0.082750019
279841:5266,08/31/16 17:23:17,2048,2048,0.398522871,0.386037353
279844:5267,09/01/16 09:21:16,233,224,0.062263039,0.057240986
279887:5270,09/02/16 01:20:52,319,319,0.078037606,0.074126575
279931:5274,09/02/16 13:37:39,2939,2939,0.495791565,0.480515778
279966:5275,09/03/16 11:20:25,363,363,0.098086749,0.094085114
279975:5276,09/03/16 16:45:09,1052,1052,0.257433648,0.248181070
279993:5277,09/04/16 02:23:27,79,78,0.021506707,0.018287474
279994:5277,09/04/16 02:56:48,59,54,0.016571493,0.012524966
279995:5277,09/04/16 03:20:34,21,15,0.005747523,0.001263626
280001:5277,09/04/16 03:43:15,8,8,0.002135028,0
280002:5277,09/04/16 03:55:31,111,106,0.029083993,0.027331986
280006:5277,09/04/16 04:44:22,73,68,0.018166115,0.016230965
280007:5277,09/04/16 05:14:22,36,36,0.008775127,0.008439803
280013:5277,09/04/16 05:35:47,34,32,0.008060322,0.005697175
280014:5277,09/04/16 05:49:29,8,5,0.001884245,0.000009976
280015:5277,09/04/16 05:55:19,584,580,0.123361222,0.118000720
280016:5277,09/04/16 09:42:16,163,155,0.030375991,0.026838406
280017:5277,09/04/16 10:45:47,613,613,0.102625897,0.098921384
280018:5277,09/04/16 14:47:05,1282,1282,0.164850851,0.160429977
280019:5277,09/04/16 23:08:52,8,6,0.000830962,0.000000011
280020:5277,09/04/16 23:15:15,47,45,0.005040703,0.004651996
280021:5277,09/04/16 23:35:30,8,5,0.000853890,0.000000074
280022:5277,09/04/16 23:39:49,7,2,0.000744704,0.000000041
280023:5277,09/04/16 23:42:33,8,6,0.000850003,0.000008516
280024:5277,09/04/16 23:47:39,427,427,0.042966907,0.042184958
280187:5279,09/05/16 22:24:23,67,60,0.017621742,0.013371081
280188:5279,09/05/16 22:50:25,253,250,0.066904222,0.062262210
280189:5279,09/06/16 00:28:31,8,6,0.002021755,0.000000023
280190:5279,09/06/16 00:34:14,9,6,0.002236422,0.000009563
280191:5279,09/06/16 00:40:17,909,907,0.189704600,0.180986356
280192:5279,09/06/16 07:08:55,9,4,0.001623527,0.000000018
280194:5279,09/06/16 07:36:21,238,238,0.038265302,0.037123022
280242:5282,09/06/16 17:43:40,639,630,0.158645872,0.149796661
280249:5282,09/06/16 21:52:07,1437,1435,0.250281958,0.241480183
280251:5282,09/07/16 07:14:58,372,372,0.048992107,0.047723776
280327:5287,09/08/16 10:23:13,50,44,0.012070167,0.008819257
280330:5287,09/08/16 10:46:53,870,862,0.197492384,0.187767451
280349:5287,09/08/16 16:27:22,639,629,0.111709390,0.105813896
280361:5287,09/08/16 20:35:43,10,10,0.001546569,0.000000003
280363:5287,09/08/16 20:47:24,367,360,0.053311148,0.050468859
280364:5287,09/08/16 23:09:57,1352,1352,0.162637202,0.156722260
280383:5288,09/09/16 10:41:13,10,9,0.002775153,0.000250886
280384:5288,09/09/16 10:48:48,47,40,0.012076700,0.007897894
280385:5288,09/09/16 11:11:36,2022,2022,0.384389912,0.369215311
281613:5331,09/25/16 08:03:32,803,803,0.011599847,0.009854551
281616:5332,09/25/16 16:15:47,354,354,0.008566037,0.007844691
281638:5338,09/26/16 09:34:44,23,23,0.003989862,0.000155373
281639:5338,09/26/16 09:45:13,136,132,0.021083742,0.019206349
281641:5338,09/26/16 11:34:34,319,319,0.041453982,0.039703345
281663:5339,09/26/16 16:41:19,114,111,0.034239108,0.030553040
281671:5339,09/26/16 17:31:29,8,7,0.002412822,0.000002731
281674:5339,09/26/16 17:37:18,47,46,0.013835021,0.012611150
281680:5339,09/26/16 18:02:31,34,31,0.009877986,0.008149344
281685:5339,09/26/16 18:20:50,8,3,0.002273112,0.000000002
281686:5339,09/26/16 18:25:01,21,21,0.005866856,0.005298400
281689:5339,09/26/16 18:39:36,9,9,0.002475940,0.001554502
281691:5339,09/26/16 18:48:30,21,16,0.005702026,0.003623781
281693:5339,09/26/16 18:57:00,2191,2191,0.392769988,0.379849392
281707:5340,09/27/16 11:47:29,970,969,0.230153102,0.220142035
281726:5340,09/27/16 18:14:38,291,289,0.052091087,0.049834009
281727:5340,09/27/16 20:10:03,1605,1605,0.209736412,0.203808379
281797:5345,09/28/16 14:04:48,2052,2052,0.416945918,0.401981324
281974:5351,09/30/16 05:20:01,5,5,0.001546861,0
281975:5351,09/30/16 05:23:12,215,215,0.059112937,0.054587501
281976:5351,09/30/16 06:48:03,2166,2166,0.356897527,0.343304198
282033:5352,09/30/16 23:30:43,43,40,0.011104331,0.008351862
282034:5352,09/30/16 23:48:05,35,35,0.010009227,0.008733301
282035:5352,10/01/16 00:03:01,47,42,0.012980989,0.009514642
282037:5352,10/01/16 00:24:14,1862,1862,0.349099353,0.334932328
282092:5355,10/02/16 15:49:37,2185,2185,0.408019230,0.394935066
282663:5386,10/08/16 18:49:18,1010,1010,0.010012672,0.009547295
282707:5391,10/09/16 10:36:05,5,4,0.001606016,0.000000622
282708:5391,10/09/16 10:39:30,8,8,0.002529322,0.002144558
282709:5391,10/09/16 10:45:16,8,5,0.001397309,0.000000743
282710:5391,10/09/16 10:49:08,9,9,0.002750876,0.000350704
282711:5391,10/09/16 10:54:49,8,6,0.002438990,0.000004267
282712:5391,10/09/16 11:00:13,68,68,0.020154334,0.019189111
282730:5393,10/09/16 14:41:53,83,79,0.024748320,0.020631795
282731:5393,10/09/16 15:13:59,176,175,0.052016359,0.048048286
282732:5393,10/09/16 16:23:16,73,72,0.020109356,0.018281462
282733:5393,10/09/16 16:52:26,178,178,0.045598421,0.043632314
282734:5393,10/09/16 18:03:11,330,329,0.074523498,0.071211184
282735:5393,10/09/16 20:12:39,1823,1823,0.280527990,0.272048477
282799:5394,10/10/16 16:12:53,8,3,0.002446862,0.000000189
282800:5394,10/10/16 16:17:15,382,381,0.099596522,0.094644857
282807:5394,10/10/16 18:48:03,330,328,0.076134671,0.071321820
282814:5394,10/10/16 20:58:58,1843,1843,0.287645141,0.278819558
282842:5395,10/11/16 12:34:00,80,80,0.024793098,0.023797366
282917:5401,10/12/16 03:27:07,85,82,0.022108953,0.018175426
282918:5401,10/12/16 04:00:22,59,56,0.015697498,0.013025009
282919:5401,10/12/16 04:23:36,243,243,0.060010505,0.057863735
282922:5401,10/12/16 07:09:33,137,137,0.028881577,0.025785002
282923:5401,10/12/16 08:04:20,229,229,0.044855146,0.041474295
282924:5401,10/12/16 09:34:42,1,1,0.000181858,0.000170221
283042:5405,10/13/16 00:38:59,10,10,0.002704425,0.001435533
283043:5405,10/13/16 00:44:16,519,519,0.123757476,0.117972506
283049:5406,10/13/16 07:05:17,17,17,0.005584502,0.003171817
283050:5406,10/13/16 07:13:23,227,221,0.067069855,0.058639575
283052:5406,10/13/16 08:45:19,124,120,0.034002511,0.029110576
283059:5406,10/13/16 10:00:56,458,451,0.105776147,0.099841264
283270:5416,10/14/16 20:39:48,1838,1837,0.399686187,0.385521210
283283:5416,10/15/16 08:35:59,1748,1748,0.204630501,0.199136156
283305:5418,10/15/16 23:41:13,15,11,0.003823584,0.001407942
283306:5418,10/15/16 23:46:57,291,291,0.081714901,0.077780643
283307:5418,10/16/16 01:43:44,461,461,0.107440707,0.101384034
283308:5418,10/16/16 04:46:26,971,971,0.172092282,0.165580590
283353:5421,10/16/16 21:55:17,753,750,0.202579180,0.193296966
283358:5421,10/17/16 02:50:19,986,982,0.184176578,0.174193231
283359:5421,10/17/16 09:15:19,428,428,0.062846963,0.061358758
283407:5423,10/17/16 23:54:07,43,39,0.014382531,0.009938879
283408:5423,10/18/16 00:10:43,2356,2356,0.479956914,0.461855534
283413:5423,10/18/16 16:42:16,8,7,0.000966280,0.000005094
283415:5423,10/18/16 16:51:34,7,6,0.000860161,0.000004324
283416:5423,10/18/16 16:57:30,245,245,0.028508121,0.022130105
283453:5424,10/18/16 21:07:49,455,455,0.130170528,0.124741121
283469:5426,10/19/16 03:09:36,1,1,0.000336328,0.000031461
283478:5427,10/19/16 06:13:19,898,894,0.227266275,0.218088870
283548:5433,10/20/16 00:58:16,148,146,0.028243729,0.026583803
283672:5437,10/21/16 03:12:40,3,0,0.000894842,0
283675:5437,10/21/16 03:25:47,60,55,0.015822503,0.000049335
283676:5437,10/21/16 03:51:54,47,40,0.013030653,0.000025285
283680:5437,10/21/16 05:17:51,87,87,0.021364637,0.019145319
283681:5437,10/21/16 05:56:07,23,23,0.005479847,0.003854775
283682:5437,10/21/16 06:08:38,389,384,0.084335331,0.080903225
283685:5437,10/21/16 08:39:38,314,314,0.021584449,0.020476214
283820:5439,10/21/16 22:48:18,1486,1482,0.271103506,0.261598727
283830:5439,10/22/16 08:27:24,729,722,0.106986194,0.103188837
283834:5439,10/22/16 13:11:28,85,82,0.010852824,0.009088268
283835:5439,10/22/16 13:45:28,112,112,0.013217799,0.011410360
283863:5441,10/22/16 19:15:48,20,14,0.006289873,0.000009426
283865:5441,10/22/16 19:30:09,1177,1177,0.276459279,0.267265935
283876:5442,10/23/16 05:38:50,672,668,0.175560520,0.165629295
283877:5442,10/23/16 09:59:53,1496,1496,0.256054873,0.248062170
283884:5443,10/24/16 01:44:05,408,408,0.108996968,0.103096196
283885:5443,10/24/16 04:25:30,1723,1723,0.301835544,0.293297335
283933:5446,10/24/16 20:32:31,153,148,0.045122273,0.040818835
283934:5446,10/24/16 21:33:15,1291,1291,0.288898575,0.278294388
283946:5448,10/25/16 09:30:41,1378,1378,0.315329684,0.303446667
283964:5448,10/25/16 18:29:30,388,388,0.061117188,0.059246802
284006:5450,10/26/16 03:53:26,322,321,0.061062125,0.058267372
284014:5450,10/26/16 05:59:16,266,266,0.049611443,0.048298876
284025:5451,10/26/16 10:56:20,54,52,0.014487282,0.012336625
284029:5451,10/26/16 11:19:00,112,112,0.032150210,0.030294679
284035:5451,10/26/16 12:04:52,369,361,0.093723746,0.088596369
284036:5451,10/26/16 14:28:09,356,349,0.077637698,0.072473292
284037:5451,10/26/16 16:48:03,343,341,0.065542847,0.063010360
284038:5451,10/26/16 19:02:16,60,55,0.010679312,0.009192519
284039:5451,10/26/16 19:27:02,34,30,0.005942863,0.004843458
284040:5451,10/26/16 19:42:18,35,35,0.006049726,0.005499267
284041:5451,10/26/16 19:59:11,47,45,0.007784569,0.006876669
284042:5451,10/26/16 20:23:53,137,129,0.022043813,0.019884807
284043:5451,10/26/16 21:17:23,227,225,0.033783793,0.032003512
284044:5451,10/26/16 22:46:05,30,30,0.004412021,0.004325715
285479:5519,11/18/16 05:13:39,8,4,0,0
285480:5519,11/18/16 05:17:12,797,797,0.000000030,0.000000030
285505:5520,11/18/16 16:00:07,435,435,0.000001512,0.000001468
285517:5521,11/18/16 22:53:46,1477,1477,0.000009745,0.000009601
285530:5522,11/19/16 13:43:07,1474,1474,0.000012038,0.000011803
285537:5523,11/20/16 02:32:12,258,252,0.000003333,0.000002965
285538:5523,11/20/16 04:14:09,124,121,0.000001337,0.000001216
285539:5523,11/20/16 05:04:37,751,751,0.000005808,0.000005690
285549:5524,11/20/16 20:39:41,303,303,0.000003675,0.000003597
285684:5526,11/22/16 04:03:21,1121,1121,0.000005218,0.000005024
285718:5527,11/22/16 14:36:04,202,199,0.000002584,0.000002450
285726:5527,11/22/16 18:34:21,481,481,0.000003625,0.000003516
285750:5533,11/23/16 12:44:47,1239,1239,0.000010817,0.000010545
285759:5534,11/24/16 01:44:02,397,397,0.000004225,0.000004131
285832:5538,11/25/16 01:56:59,1479,1479,0.000000629,0.000000610
285952:5545,11/26/16 13:36:36,11,6,0,0
285953:5545,11/26/16 13:40:43,9,4,0,0
285954:5545,11/26/16 13:43:59,21,18,0.000000001,0
285955:5545,11/26/16 13:53:40,9,7,0,0
285956:5545,11/26/16 13:58:58,36,36,0.000000002,0.000000002
285975:5546,11/26/16 18:35:03,383,383,0.000001240,0.000001169
285993:5547,11/26/16 23:49:59,1042,1038,0.000006967,0.000006678
285994:5547,11/27/16 06:34:42,47,41,0.000000188,0.000000102
285995:5547,11/27/16 06:52:55,105,105,0.000000395,0.000000242
286009:5549,11/27/16 12:10:01,222,220,0.000002347,0.000002269
286010:5549,11/27/16 13:37:38,1179,1179,0.000006245,0.000006153
286023:5550,11/28/16 00:21:10,788,788,0.000006812,0.000006679
286031:5552,11/28/16 09:26:21,254,248,0.000002882,0.000002749
286033:5552,11/28/16 11:05:34,98,96,0.000000886,0.000000844
286034:5552,11/28/16 11:48:18,710,710,0.000004138,0.000004070
286051:5553,11/28/16 22:43:34,351,346,0.000003892,0.000003733
286054:5553,11/29/16 00:59:41,638,638,0.000004062,0.000003998
286069:5554,11/29/16 07:42:10,362,362,0.000003795,0.000003701
286070:5554,11/29/16 10:04:35,99,99,0.000000776,0.000000757
286178:5558,11/30/16 04:02:43,598,598,0.000005120,0.000004967
286200:5559,11/30/16 12:46:41,99,92,0.000001881,0.000001578
286201:5559,11/30/16 13:25:48,137,134,0.000002277,0.000002171
286288:5562,12/01/16 00:27:17,31,31,0.000000590,0.000000561
286301:5563,12/01/16 04:06:42,425,425,0.000005774,0.000005601
286302:5563,12/01/16 06:55:08,331,331,0.000002949,0.000002901
286309:5563,12/01/16 10:43:58,21,15,0.000000124,0.000000084
286314:5563,12/01/16 11:32:52,120,120,0.000000629,0.000000622
286327:5564,12/01/16 15:14:37,31,31,0.000000426,0.000000372
286328:5564,12/01/16 15:28:10,7,1,0.000000117,0
286329:5564,12/01/16 15:30:36,122,122,0.000001901,0.000001869
286365:5565,12/01/16 19:51:37,603,603,0.000007675,0.000007532
286420:5568,12/02/16 15:01:57,21,15,0.000000364,0.000000147
286422:5568,12/02/16 15:11:54,21,20,0.000000359,0.000000187
286424:5568,12/02/16 15:27:30,8,5,0.000000131,0
286425:5568,12/02/16 15:31:56,863,863,0.000009019,0.000008880
286441:5569,12/03/16 00:10:48,13,12,0.000000202,0.000000111
286442:5569,12/03/16 00:18:01,461,461,0.000006562,0.000006351
286450:5570,12/03/16 08:06:18,932,932,0.000010579,0.000010282
286471:5571,12/03/16 16:49:36,820,820,0.000009861,0.000009658
286496:5573,12/04/16 02:01:30,334,334,0.000005027,0.000004896
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#194,624,276619,275194,39.326731261,37.167644722
#Check JSON:
#(run,ls) in json but not in results: []
