#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
274102:4954,05/27/16 14:55:58,9,8,0.000000627,0.000000422
274103:4954,05/27/16 15:02:29,9,4,0.000000721,0.000000317
274142:4956,05/28/16 00:03:39,2,2,0.000173102,0
274146:4956,05/28/16 00:10:11,73,73,0.006208550,0.005422332
274157:4958,05/28/16 13:50:04,433,431,0.043152048,0.040689707
274159:4958,05/28/16 16:43:47,47,43,0.004433784,0.003593492
274160:4958,05/28/16 17:02:52,214,211,0.019584999,0.018178774
274161:4958,05/28/16 18:26:18,516,516,0.044054574,0.042544990
274172:4960,05/29/16 02:45:19,65,65,0.007141239,0.006331700
274198:4961,05/29/16 22:00:35,112,112,0.013365488,0.012189941
274199:4961,05/29/16 22:45:19,630,630,0.070122652,0.066646477
274200:4961,05/30/16 02:52:14,678,678,0.065938162,0.063979504
274240:4964,05/30/16 15:59:19,86,84,0.011191440,0.010047969
274241:4964,05/30/16 16:43:35,1180,1176,0.137665191,0.131683643
274243:4964,05/31/16 00:27:18,10,10,0.001044356,0.000852186
274244:4964,05/31/16 00:32:25,607,607,0.060177904,0.058274212
274250:4965,05/31/16 07:55:31,704,703,0.101505626,0.095683610
274251:4965,05/31/16 12:30:54,546,546,0.067563471,0.065403835
274282:4976,06/01/16 05:23:03,1,1,0.000162348,0.000155678
274283:4976,06/01/16 05:25:03,22,19,0.003555623,0.000396680
274284:4976,06/01/16 05:34:51,215,213,0.032381796,0.030004139
274285:4976,06/01/16 07:01:31,7,4,0.001010974,0.000066559
274286:4976,06/01/16 07:04:18,154,154,0.022531267,0.021565539
274314:4979,06/01/16 17:02:56,69,69,0.012684532,0.010086863
274315:4979,06/01/16 17:32:32,432,425,0.075140997,0.070057444
274316:4979,06/01/16 20:20:25,974,970,0.143324908,0.136610404
274317:4979,06/02/16 02:39:53,22,18,0.002946304,0.000314271
274318:4979,06/02/16 02:49:44,11,11,0.001467711,0.000004835
274319:4979,06/02/16 02:56:19,225,225,0.029423353,0.028457824
274335:4980,06/02/16 11:10:43,954,944,0.156251015,0.148181338
274336:4980,06/02/16 17:25:02,20,14,0.002962231,0.001802284
274337:4980,06/02/16 17:32:31,22,17,0.003243256,0.001841747
274338:4980,06/02/16 17:41:22,703,698,0.095969843,0.089906792
274339:4980,06/02/16 22:15:40,99,95,0.012509623,0.011287158
274344:4980,06/02/16 23:27:09,639,639,0.074362694,0.071146254
274345:4980,06/03/16 03:37:46,170,170,0.018443242,0.017880226
274382:4984,06/03/16 17:37:56,51,51,0.008058245,0.007500508
274387:4985,06/03/16 21:10:09,360,355,0.063778435,0.058817639
274388:4985,06/03/16 23:32:38,1820,1820,0.266131720,0.256527308
274420:4988,06/04/16 22:16:58,176,176,0.029986214,0.028364154
274421:4988,06/04/16 23:28:04,356,348,0.058970395,0.054434025
274422:4988,06/05/16 01:46:51,2207,2207,0.288627425,0.279871584
274440:4990,06/05/16 21:32:38,407,406,0.067723310,0.064168997
274441:4990,06/06/16 00:13:06,443,437,0.068510125,0.064548155
